,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id
0,4676650028,Ночной велозаезд в магазин и обратно по Шипиловской,2021-01-24T23:42:47Z,Ride,15572.2,4016,5598,101.7,"[55.637597, 37.698348]",F165CA16-C67F-4D38-9555-854925248839-activity.fit
1,4577117746,Вдоль канала,2021-01-06T17:20:19Z,Ride,10855.0,3383,4365,66.2,"[55.886741, 37.469267]",90546A6C-01BB-46D0-AED8-D6AC59D4FEB0-activity.fit
2,4554694139,По снежку от МЦК до Коломенской через мост,2021-01-02T17:31:36Z,Ride,3707.8,1453,1864,21.2,"[55.683534, 37.671863]",C9A9E0AE-B474-45BC-9E00-C04E37754A09-activity.fit
3,4553915835,Левобережная - Долгопрудный,2021-01-02T14:37:15Z,Ride,11126.5,4552,5989,62.7,"[55.953419, 37.511021]",44D39EA9-40DB-4527-9FFD-08D85B6882D3-activity.fit
4,4552756889,Дневной велозаезд,2021-01-02T12:55:50Z,Ride,4428.1,1438,1994,12.1,"[55.68998, 37.618358]",417CDF23-78FD-487A-BC01-0B10B84B57C5-activity.fit
5,4552567822,От Коломенской по парку,2021-01-02T12:01:38Z,Ride,7194.9,2494,3026,42.4,"[55.683547, 37.673564]",201B7626-8285-4ECF-9CA4-58B1F24E7B67-activity.fit
6,4545628300,Вдоль Шипиловской плотины,2020-12-31T18:44:23Z,Ride,12128.0,5041,7902,100.6,"[55.637483, 37.69822]",9B9548E9-C249-4DFA-B141-2CA1A281BDC9-activity.fit
7,4538758681,В той дом через Царицыно,2020-12-30T12:31:28Z,Ride,24343.6,7199,11702,143.7,"[55.636962, 37.698087]",76D7485A-EE00-4AFF-B3E2-63779E63AF42-activity.fit
8,4524896609,Морозно,2020-12-27T16:46:53Z,Ride,5190.5,1463,2378,48.3,"[55.637606, 37.698197]",A8FBE7CF-216C-4E2C-9222-72AB726945F8-activity.fit
9,4502940423,Посетить икею,2020-12-22T09:12:01Z,Ride,32071.9,7698,11217,199.1,"[55.637658, 37.698285]",7B2F25D3-B1C9-44DD-9136-9F43F01CC8B4-activity.fit
10,4498345316,Ночной велозаезд до мака через Царицыно,2020-12-21T00:03:47Z,Ride,23230.7,5745,7682,131.4,"[55.637694, 37.697976]",37C9CAD7-5B18-4DEA-873C-57487CD4391A-activity.fit
11,4488868006,Ночной велозаезд через Царицыно до мкада,2020-12-19T01:03:02Z,Ride,22494.8,5224,7319,136.3,"[55.637476, 37.698065]",61D31768-A038-4C8F-8369-57EB590FFE9E-activity.fit
12,4485244851,До совхоза по Шипиловской ,2020-12-18T00:45:05Z,Ride,17196.7,4803,7463,116.9,"[55.637569, 37.697911]",048F7AA5-E17E-4472-A996-614EE2DC942D-activity.fit
13,4477419588,По Орехово,2020-12-16T00:11:12Z,Ride,12109.4,3647,10608,87.4,"[55.637121, 37.698164]",49018F52-91F6-48F0-8F0E-EA60965AE2AC-activity.fit
14,4421709717,Дневная прогулка вдоль Бульварного кольца,2020-12-02T14:32:00Z,Walk,17970.4,13139,26884,139.7,"[55.731382, 37.636071]",B7D9A957-4A6C-4A9F-BF23-EC5A9E9F4BD7-activity.fit
15,4304206352,Вечерний велозаезд по набережной,2020-11-07T18:59:02Z,Ride,13916.3,5157,16556,120.9,"[55.637384, 37.697602]",624A09FB-B985-44A7-A142-8B2CB5979B01-activity.fit
